ITEM_ID,ITEM_TYPE,TOTAL_BIDS,ITEM_ENDDATE
24,Jewelry,4,08:52.5
26,Collectables,2,08:52.5
11,Collectables,18,08:52.5
33,Antiques,2,08:52.5
18,Antiques,12,08:52.5
13,Antiques,4,08:52.5
23,Antiques,12,08:52.5
15,Collectables,6,08:52.5
34,Books,2,08:52.5
32,Sporting Goods,20,08:52.5
19,Books,2,08:52.5
14,Collectables,2,08:52.5
8,Collectables,2,08:52.5
7,Sporting Goods,6,08:52.5
6,Collectables,10,08:52.5
5,Collectables,2,08:52.5
22,Books,2,08:52.7
1,All Other,12,08:52.7
16,Collectables,4,08:52.7
36,Collectables,12,08:52.7
3,Collectables,2,08:52.7
2,Collectables,6,08:52.7
